final_judgment,annotator_1,annotator_2,id
Incorrect,Incorrect,Correct,U0246
Correct,Incorrect,Correct,U0252
Incorrect,Incorrect,Correct,U0253
Correct,Incorrect,Correct,U0308
Correct,Incorrect,Correct,U0316
Correct,Incorrect,Correct,U0318
Incorrect,Incorrect,Correct,U0362
Correct,Incorrect,Correct,U0493
Correct,Correct,Incorrect,U0003
Correct,Correct,Incorrect,U0019
Incorrect,Correct,Incorrect,U0024
Correct,Correct,Incorrect,U0039
Correct,Correct,Incorrect,U0040
Correct,Correct,Incorrect,U0042
Correct,Correct,Incorrect,U0045
Incorrect,Correct,Incorrect,U0052
Incorrect,Correct,Incorrect,U0061
Incorrect,Correct,Incorrect,U0070
Correct,Correct,Incorrect,U0071
Incorrect,Correct,Incorrect,U0123
Correct,Correct,Incorrect,U0137
Correct,Correct,Incorrect,U0144
Correct,Correct,Incorrect,U0148
Correct,Correct,Incorrect,U0216
Incorrect,Correct,Incorrect,U0226
Incorrect,Correct,Incorrect,U0235
Incorrect,Correct,Incorrect,U0237
Correct,Correct,Incorrect,U0265
Incorrect,Correct,Incorrect,U0287
Incorrect,Correct,Incorrect,U0368
Incorrect,Correct,Incorrect,U0378
Incorrect,Correct,Incorrect,U0381
Correct,Correct,Incorrect,U0415
Incorrect,Correct,Incorrect,U0469
Correct,Correct,Incorrect,U0483
Correct,Correct,Incorrect,U0529
Incorrect,Incorrect,Incorrect,U0010
Incorrect,Incorrect,Incorrect,U0011
Incorrect,Incorrect,Incorrect,U0017
Incorrect,Incorrect,Incorrect,U0026
Incorrect,Incorrect,Incorrect,U0027
Incorrect,Incorrect,Incorrect,U0029
Incorrect,Incorrect,Incorrect,U0030
Incorrect,Incorrect,Incorrect,U0031
Incorrect,Incorrect,Incorrect,U0050
Incorrect,Incorrect,Incorrect,U0054
Incorrect,Incorrect,Incorrect,U0056
Incorrect,Incorrect,Incorrect,U0060
Incorrect,Incorrect,Incorrect,U0069
Incorrect,Incorrect,Incorrect,U0080
Incorrect,Incorrect,Incorrect,U0081
Incorrect,Incorrect,Incorrect,U0088
Incorrect,Incorrect,Incorrect,U0090
Incorrect,Incorrect,Incorrect,U0092
Incorrect,Incorrect,Incorrect,U0096
Incorrect,Incorrect,Incorrect,U0102
Incorrect,Incorrect,Incorrect,U0107
Incorrect,Incorrect,Incorrect,U0145
Incorrect,Incorrect,Incorrect,U0146
Incorrect,Incorrect,Incorrect,U0152
Incorrect,Incorrect,Incorrect,U0153
Incorrect,Incorrect,Incorrect,U0154
Incorrect,Incorrect,Incorrect,U0155
Incorrect,Incorrect,Incorrect,U0156
Incorrect,Incorrect,Incorrect,U0157
Incorrect,Incorrect,Incorrect,U0161
Incorrect,Incorrect,Incorrect,U0162
Incorrect,Incorrect,Incorrect,U0163
Incorrect,Incorrect,Incorrect,U0164
Incorrect,Incorrect,Incorrect,U0166
Incorrect,Incorrect,Incorrect,U0174
Incorrect,Incorrect,Incorrect,U0175
Incorrect,Incorrect,Incorrect,U0182
Incorrect,Incorrect,Incorrect,U0190
Incorrect,Incorrect,Incorrect,U0191
Incorrect,Incorrect,Incorrect,U0192
Incorrect,Incorrect,Incorrect,U0200
Incorrect,Incorrect,Incorrect,U0208
Incorrect,Incorrect,Incorrect,U0211
Incorrect,Incorrect,Incorrect,U0224
Incorrect,Incorrect,Incorrect,U0227
Incorrect,Incorrect,Incorrect,U0238
Incorrect,Incorrect,Incorrect,U0247
Incorrect,Incorrect,Incorrect,U0259
Incorrect,Incorrect,Incorrect,U0260
Incorrect,Incorrect,Incorrect,U0262
Incorrect,Incorrect,Incorrect,U0272
Incorrect,Incorrect,Incorrect,U0278
Incorrect,Incorrect,Incorrect,U0290
Incorrect,Incorrect,Incorrect,U0291
Incorrect,Incorrect,Incorrect,U0294
Incorrect,Incorrect,Incorrect,U0295
Incorrect,Incorrect,Incorrect,U0302
Incorrect,Incorrect,Incorrect,U0305
Incorrect,Incorrect,Incorrect,U0306
Incorrect,Incorrect,Incorrect,U0310
Incorrect,Incorrect,Incorrect,U0311
Incorrect,Incorrect,Incorrect,U0313
Incorrect,Incorrect,Incorrect,U0319
Incorrect,Incorrect,Incorrect,U0329
Incorrect,Incorrect,Incorrect,U0330
Incorrect,Incorrect,Incorrect,U0340
Incorrect,Incorrect,Incorrect,U0344
Incorrect,Incorrect,Incorrect,U0349
Incorrect,Incorrect,Incorrect,U0351
Incorrect,Incorrect,Incorrect,U0352
Incorrect,Incorrect,Incorrect,U0353
Incorrect,Incorrect,Incorrect,U0354
Incorrect,Incorrect,Incorrect,U0365
Incorrect,Incorrect,Incorrect,U0367
Incorrect,Incorrect,Incorrect,U0380
Incorrect,Incorrect,Incorrect,U0391
Incorrect,Incorrect,Incorrect,U0413
Incorrect,Incorrect,Incorrect,U0416
Incorrect,Incorrect,Incorrect,U0427
Incorrect,Incorrect,Incorrect,U0430
Incorrect,Incorrect,Incorrect,U0434
Incorrect,Incorrect,Incorrect,U0435
Incorrect,Incorrect,Incorrect,U0444
Incorrect,Incorrect,Incorrect,U0445
Incorrect,Incorrect,Incorrect,U0447
Incorrect,Incorrect,Incorrect,U0450
Incorrect,Incorrect,Incorrect,U0454
Incorrect,Incorrect,Incorrect,U0456
Incorrect,Incorrect,Incorrect,U0457
Incorrect,Incorrect,Incorrect,U0458
Incorrect,Incorrect,Incorrect,U0459
Incorrect,Incorrect,Incorrect,U0461
Incorrect,Incorrect,Incorrect,U0462
Incorrect,Incorrect,Incorrect,U0464
Incorrect,Incorrect,Incorrect,U0465
Incorrect,Incorrect,Incorrect,U0467
Incorrect,Incorrect,Incorrect,U0470
Incorrect,Incorrect,Incorrect,U0471
Incorrect,Incorrect,Incorrect,U0472
Incorrect,Incorrect,Incorrect,U0475
Incorrect,Incorrect,Incorrect,U0476
Incorrect,Incorrect,Incorrect,U0477
Incorrect,Incorrect,Incorrect,U0485
Incorrect,Incorrect,Incorrect,U0487
Incorrect,Incorrect,Incorrect,U0490
Incorrect,Incorrect,Incorrect,U0491
Incorrect,Incorrect,Incorrect,U0492
Incorrect,Incorrect,Incorrect,U0495
Incorrect,Incorrect,Incorrect,U0500
Incorrect,Incorrect,Incorrect,U0502
Incorrect,Incorrect,Incorrect,U0503
Incorrect,Incorrect,Incorrect,U0507
Incorrect,Incorrect,Incorrect,U0508
Incorrect,Incorrect,Incorrect,U0510
Incorrect,Incorrect,Incorrect,U0511
Incorrect,Incorrect,Incorrect,U0513
Incorrect,Incorrect,Incorrect,U0516
Incorrect,Incorrect,Incorrect,U0520
Incorrect,Incorrect,Incorrect,U0523
Incorrect,Incorrect,Incorrect,U0526
Incorrect,Incorrect,Incorrect,U0452
Incorrect,Incorrect,Incorrect,U0524
Incorrect,Incorrect,Incorrect,U0112
Incorrect,Incorrect,Incorrect,U0117
Incorrect,Incorrect,Incorrect,U0120
Incorrect,Incorrect,Incorrect,U0126
Incorrect,Incorrect,Incorrect,U0128
Incorrect,Incorrect,Incorrect,U0135
Incorrect,Incorrect,Incorrect,U0136
Incorrect,Incorrect,Incorrect,U0139
Incorrect,Incorrect,Incorrect,U0147
Incorrect,Incorrect,Incorrect,U0149
Incorrect,Incorrect,Incorrect,U0150
Incorrect,Incorrect,Incorrect,U0187
Incorrect,Incorrect,Incorrect,U0205
Incorrect,Incorrect,Incorrect,U0209
Incorrect,Incorrect,Incorrect,U0214
Incorrect,Incorrect,Incorrect,U0219
Incorrect,Incorrect,Incorrect,U0220
Incorrect,Incorrect,Incorrect,U0232
Incorrect,Incorrect,Incorrect,U0239
Incorrect,Incorrect,Incorrect,U0244
Incorrect,Incorrect,Incorrect,U0270
Incorrect,Incorrect,Incorrect,U0304
Incorrect,Incorrect,Incorrect,U0307
Incorrect,Incorrect,Incorrect,U0315
Incorrect,Incorrect,Incorrect,U0324
Incorrect,Incorrect,Incorrect,U0331
Correct,Correct,Incorrect,U0022
Incorrect,Correct,Incorrect,U0074
Incorrect,Incorrect,Incorrect,U0132
Incorrect,Incorrect,Incorrect,U0350
Incorrect,Incorrect,Incorrect,U0001
Incorrect,Incorrect,Incorrect,U0002
Incorrect,Incorrect,Incorrect,U0165
Incorrect,Incorrect,Incorrect,U0173
Incorrect,Incorrect,Incorrect,U0303
Incorrect,Incorrect,Incorrect,U0386
Incorrect,Incorrect,Incorrect,U0420
Incorrect,Incorrect,Incorrect,U0448
Incorrect,Incorrect,Incorrect,U0455
Incorrect,Incorrect,Incorrect,U0506
Incorrect,Incorrect,Incorrect,U0217
Correct,Correct,Incorrect,U0068
Correct,Correct,Incorrect,U0504
Incorrect,Incorrect,Incorrect,U0006
Incorrect,Incorrect,Incorrect,U0013
Incorrect,Incorrect,Incorrect,U0014
Incorrect,Incorrect,Incorrect,U0036
Incorrect,Incorrect,Incorrect,U0055
Incorrect,Incorrect,Incorrect,U0100
Incorrect,Incorrect,Incorrect,U0124
Incorrect,Incorrect,Incorrect,U0129
Incorrect,Incorrect,Incorrect,U0134
Incorrect,Incorrect,Incorrect,U0249
Incorrect,Incorrect,Incorrect,U0333
Incorrect,Incorrect,Incorrect,U0355
Incorrect,Incorrect,Incorrect,U0426
Incorrect,Incorrect,Incorrect,U0037
Incorrect,Incorrect,Incorrect,U0111
Incorrect,Incorrect,Incorrect,U0116
Incorrect,Incorrect,Incorrect,U0133
Incorrect,Incorrect,Incorrect,U0141
Incorrect,Incorrect,Incorrect,U0151
Incorrect,Incorrect,Incorrect,U0159
Incorrect,Incorrect,Incorrect,U0176
Incorrect,Incorrect,Incorrect,U0178
Incorrect,Incorrect,Incorrect,U0179
Incorrect,Incorrect,Incorrect,U0181
Incorrect,Incorrect,Incorrect,U0188
Incorrect,Incorrect,Incorrect,U0189
Incorrect,Incorrect,Incorrect,U0193
Incorrect,Incorrect,Incorrect,U0210
Incorrect,Incorrect,Incorrect,U0212
Incorrect,Incorrect,Incorrect,U0225
Incorrect,Incorrect,Incorrect,U0233
Incorrect,Incorrect,Incorrect,U0234
Incorrect,Incorrect,Incorrect,U0241
Incorrect,Incorrect,Incorrect,U0248
Incorrect,Incorrect,Incorrect,U0326
Incorrect,Incorrect,Incorrect,U0328
Incorrect,Incorrect,Incorrect,U0341
Incorrect,Incorrect,Incorrect,U0343
Incorrect,Incorrect,Incorrect,U0345
Incorrect,Incorrect,Incorrect,U0346
Incorrect,Incorrect,Incorrect,U0347
Incorrect,Incorrect,Incorrect,U0356
Incorrect,Incorrect,Incorrect,U0357
Incorrect,Incorrect,Incorrect,U0428
Incorrect,Incorrect,Incorrect,U0460
